
    Sonde serial number                          	M4643053
    Sonde type                                   	RS92-SGP
    Release point longitude                      	73.83�E
    Release point latitude                       	19.90�N
    Release point height from sea level          	1151 m
    Balloon release date and time                	2022-03-28T14:31:19

   n HeightMSL  Temp     P RH Dir Speed  MRI
             m    �C    mb  %   �   m/s     
 499      3042  17.9 764.0 32 294   6.4  619
 500      3045  17.8 763.7 32 294   6.4  620
 501      3048  17.8 763.5 32 295   6.4  620
 502      3051  17.8 763.2 32 295   6.4  621
 503      3053  17.8 763.0 32 295   6.4  621
 504      3055  17.7 762.8 32 295   6.4  621
 505      3058  17.7 762.6 32 295   6.4  622
 506      3061  17.7 762.3 32 295   6.4  622
 507      3064  17.7 762.1 32 295   6.4  623
 508      3067  17.6 761.8 32 295   6.4  623
 509      3070  17.6 761.5 32 295   6.4  624
 510      3072  17.6 761.3 32 295   6.3  624
 511      3075  17.6 761.0 32 295   6.3  624
 512      3078  17.5 760.8 32 295   6.3  625
 513      3081  17.5 760.5 32 295   6.3  625
 514      3084  17.5 760.3 33 295   6.2  625
 515      3087  17.5 760.0 33 294   6.2  626
 516      3089  17.4 759.8 33 294   6.2  626
 517      3092  17.4 759.5 33 294   6.2  627
 518      3095  17.4 759.3 33 293   6.1  627
 519      3098  17.3 759.0 33 293   6.1  628
 520      3101  17.3 758.8 33 293   6.1  628
 521      3103  17.3 758.5 33 292   6.1  628
 522      3106  17.2 758.3 33 292   6.0  629
 523      3109  17.2 758.0 33 291   6.0  629
 524      3112  17.2 757.8 34 291   6.0  630
 525      3115  17.2 757.5 34 290   6.0  630
 526      3119  17.1 757.2 34 289   6.0  631
 527      3123  17.1 756.8 33 289   5.9  631
 528      3129  17.1 756.3 33 288   5.9  632
 529      3134  17.0 755.8 33 288   5.9  632
 530      3140  17.0 755.3 33 287   5.9  633
 531      3145  16.9 754.8 33 287   5.9  634
 532      3151  16.9 754.3 33 286   5.9  635
 533      3157  16.8 753.8 33 286   5.9  635
 534      3162  16.8 753.3 33 286   6.0  636
 535      3167  16.8 752.9 33 285   6.0  636
 536      3172  16.7 752.5 33 285   6.0  637
 537      3176  16.7 752.1 33 285   6.0  638
 538      3180  16.6 751.8 33 284   6.0  638
 539      3183  16.6 751.5 34 284   6.0  639
 540      3186  16.6 751.2 34 284   6.0  639
 541      3189  16.6 750.9 33 284   6.1  639
 542      3193  16.5 750.6 33 284   6.1  640
 543      3197  16.5 750.3 33 283   6.1  640
 544      3200  16.5 750.0 33 283   6.1  641
